Color_BG,Color_Logo,Color_Main,Color_Sub
white,black,Black,Black
white,black,Black,Gray
white,blue,Black,Black
white,green,Black,Black
white,red,Black,Black
white,purple,Black,Black
white,blue,Black,Gray
white,green,Black,Gray
white,red,Black,Gray
white,purple,Black,Gray
#02343F,#F0EDCC,#F0EDCC,#F0EDCC
#F0EDCC,#02343F,#02343F,#02343F
#331B3F,#ACC7B4,#ACC7B4,#ACC7B4
#ACC7B4,#331B3F,#331B3F,#331B3F
#0A174E,#F5D042,#F5D042,#F5D042
#F5D042,#0A174E,#0A174E,#0A174E
#07553B,#CED46A,#CED46A,#CED46A
#CED46A,#07553B,#07553B,#07553B
#50586C,#DCE2F0,#DCE2F0,#DCE2F0
#DCE2F0,#50586C,#50586C,#50586C
#815854,#F9EBDE,#F9EBDE,#F9EBDE
#F9EBDE,#815854,#815854,#815854
#1E4174,#DDA94B,#DDA94B,#DDA94B
#DDA94B,#1E4174,#1E4174,#1E4174
#A4193D,#FFDFB9,#FFDFB9,#FFDFB9
#FFDFB9,#A4193D,#A4193D,#A4193D
#1AAFBC,#80634C,#80634C,#80634C
#80634C,#1AAFBC,#1AAFBC,#1AAFBC
#FFDFDE,#6A7BA2,#6A7BA2,#6A7BA2
#6A7BA2,#FFDFDE,#FFDFDE,#FFDFDE
#3B1877,#DA5A2A,#DA5A2A,#DA5A2A
#DA5A2A,#3B1877,#3B1877,#3B1877
#5F4B8B,#E69A8D,#E69A8D,#E69A8D
#E69A8D,#5F4B8B,#5F4B8B,#5F4B8B
#000000,#FFFFFF,#FFFFFF,#FFFFFF
#00203F,#ADEFD1,#ADEFD1,#ADEFD1
#ADEFD1,#00203F,#00203F,#00203F
#606060,#D6ED17,#D6ED17,#D6ED17
#D6ED17,#606060,#606060,#606060
#2C5F2D,#97BC62,#97BC62,#97BC62
#97BC62,#2C5F2D,#2C5F2D,#2C5F2D
#EEA47F,#00539C,#00539C,#00539C
#00539C,#EEA47F,#EEA47F,#EEA47F
#9CC3D5,#0063B2,#0063B2,#0063B2
#0063B2,#9CC3D5,#9CC3D5,#9CC3D5
#FEE715,#101820,#101820,#101820
#101820,#FEE715,#FEE715,#FEE715
#d3687f,#CBCE91,#CBCE91,#CBCE91
#CBCE91,#d3687f,#d3687f,#d3687f
#5CC8D7,#B1624E,#B1624E,#B1624E
#B1624E,#5CC8D7,#5CC8D7,#5CC8D7
